name,latitude,longitude
"Plovdiv, BG",42.15,24.75
"Paris, FR",48.78,2.19
"Amsterdam, NL",52.37,4.89
"Dunkerque, FR",51.03,2.38
"Sandefjord, NO",59.17,10.21
"Bucharest, RO",44.43,26.11
"Paris, FR",48.79,2.49
"Montreal, CA",45.51,-73.59
"Madrid, ES",40.42,-3.7
"Gdansk, PL",54.35,18.65
"Stockholm, SE",59.33,18.07
"Dublin, IE",53.33,-6.25
"Queretaro, MX",20.56,-100.24
"Berlin, DE",52.51,13.36
"Singapore, SG",1.32,103.7
"San Jose, US",37.34,-121.89
"Singapore, SG",1.29,103.85
"Helsinki, FI",60.17,24.94
"Numansdorp, NL",51.73,4.44
"Eindhoven, NL",51.44,5.48
"Hong Kong, HK",22.28,114.17
"Ashburn, US",39.04,-77.49
"Frankfurt, DE",50.11,8.68
"Singapore, SG",1.29,103.85
"Amsterdam, NL",52.37,4.89
"Belgrade, RS",44.87,20.64
"Falkenstein, DE",50.48,12.37
"Lelystad, NL",52.54,5.51
"Virginia Beach, US",36.85,-75.98
"Tel Aviv, IL",32.09,34.89
"Madrid, ES",40.42,-3.7
"Nuremberg, DE",49.45,11.02
"Chicago, US",41.85,-87.65
"Tel Aviv, IL",32.1,34.96
"Fremont, US",37.55,-121.99
"Tallinn, EE",59.44,24.75
"Hong Kong, HK",22.28,114.17
"Frankfurt, DE",50.12,8.68
"Amsterdam, NL",52.38,4.9
"Bogota, CO",4.66,-74.04
"Rome, IT",41.67,12.5
"Sofia, BG",42.7,23.32
"Nuremberg, DE",49.45,11.08
"Frankfurt, DE",50.12,8.68
"Montreal, CA",45.46,-73.57
"Falkenstein, DE",50.48,12.37
"Sao Paulo, BR",-23.55,-46.64
"Stockholm, SE",59.33,18.07
"Nuremberg, DE",49.45,11.08
"Dallas, US",32.78,-96.81
"Kansas City, US",39.1,-94.58
"Moscow, RU",55.75,37.62
"Helsinki, FI",60.17,24.94
"Rotterdam, NL",52.0,4.17
"Melbourne, AU",-37.75,144.76
"Goudswaard, NL",51.79,4.28
"Gdansk, PL",54.35,18.65
"Minsk, BY",53.9,27.57
"Dalles, US",45.59,-121.18
"Frankfurt, DE",50.12,8.68
"Helsinki, FI",60.17,24.94
"Vienna, AT",48.15,16.39
"Dublin, IE",53.32,-6.31
"Hindeloopen, NL",52.94,5.4
"New York, US",40.71,-74.01
"Brummen, NL",52.09,6.16
"Tokyo, JP",35.69,139.69
"Ashburn, US",39.04,-77.49
"Al Muharraq, BH",26.07,50.5
"Vilnius, LT",54.69,25.3
"Vilnius, LT",54.67,25.27
"New Philadelphia, US",40.48,-81.44
"Jerusalem, IL",31.77,35.22
"Springfield, US",38.79,-77.19
"Buffalo, US",42.89,-78.88
"Goteborg, SE",57.74,12.11
"Ashburn, US",39.04,-77.49
"Toronto, CA",43.71,-79.4
"Chicago, US",41.85,-87.65
"Los Angeles, US",34.05,-118.24
"Madrid, ES",40.42,-3.7
"Dallas, US",32.78,-96.81
"Montreal, CA",45.52,-73.47
"Manassas, US",38.75,-77.48
"Los Angeles, US",34.05,-118.24
"Stockholm, SE",59.25,18.12
"Alicante, ES",38.35,-0.48
"Alicante, ES",38.35,-0.48
"New York, US",40.71,-74.01
"New York, US",40.71,-74.01
"Houston, US",29.76,-95.36
"Amsterdam, NL",52.37,4.89
"Tokyo, JP",35.69,139.69
"Guangzhou, CN",23.12,113.25
"Helsinki, FI",60.17,24.94
"Ashburn, US",39.04,-77.49
"Peachtree City, US",33.4,-84.6
"Kyiv, UA",50.41,30.37
"Chiba, JP",35.81,140.12
"Jacksonville, US",30.33,-81.66
"Amsterdam, NL",52.37,4.89
